denom,cases,primary,pm25,pmcoarse,hs_orless,poverty
42,0,0,6.50547424140382,5.04255992444315,31.1,24.5
21,0,0,4.63124440074528,6.43267480969286,0,NA
244,1,0,4.78874092275696,5.64144169768194,57.8,32.1
1228,4,0,6.37926651572498,5.48752138685816,42.4,12.1
160,1,0,4.30667872801261,5.8319389638764,39.9,23.9
160,0,0,4.40152622716554,5.81758891259803,55.2,48.7
523,1,0,5.77442919104405,5.42321579866342,69.6,31.1
1087,5,0,5.43324342750846,5.0567221104627,51.1,22.8
1030,10,0,5.39514044968031,6.28917082201133,44.6,15.6
1968,10,0,4.12277013529841,6.46422079489308,51.1,21.6
253,1,0,5.91955399050715,5.22071632598359,78.5,27.8
203,0,0,5.70420565995567,5.69748006230223,63.7,41.2
6492,30,1,4.74830787657853,11.1816584023231,35.1,9.2
567,2,0,NA,NA,NA,NA
5373,23,0,4.59217998675949,10.5080997177523,24.6,6.1
509,8,0,NA,NA,NA,NA
5548,14,0,4.67244779658359,10.4020169988704,24.5,6.8
699,3,1,NA,NA,NA,NA
74,0,0,4.84337685288805,11.777700045840101,52.3,NA
6507,37,4,4.58266077757635,9.72217394903269,41.6,13.9
1470,1,0,4.58647238067326,9.25825302554738,37.6,4.5
545,4,0,5.15725959355639,7.0922425562981,53.8,14.3
165,0,0,4.68948711990138,11.7968512121745,51.4,1.3
2875,15,0,4.51077641795616,8.97386455428482,47.7,22.2
4078,27,1,4.62603140117515,9.034145386174,40.5,11.9
1124,8,0,4.81898676402741,8.77077628766338,40.7,5.4
1305,11,0,4.65773652041818,8.36404994760694,33.4,12.1
5888,52,1,4.82323355885,9.62221715810663,44.2,10.8
3208,12,0,4.58150172276132,9.52919828020889,37.6,3.1
305,1,0,4.53361655351815,9.91045272853722,40.5,25.3
90,0,0,4.71064618578016,9.4372367128562,28.8,6
566,4,0,4.84084505622626,11.8672154818939,59,8.1
1705,10,0,4.64522526605809,10.5695458924219,52,14.6
847,4,0,4.75075157935696,8.22403134908605,40.3,15.9
773,3,0,4.52619856741951,7.94109894977707,40.8,9.9
3005,10,0,4.84505466569113,7.851783232925,21.2,7.5
406,2,0,5.08608300200466,8.15402623361153,57.3,18.4
120,0,0,4.61959429516249,10.4998247940793,39.9,9.1
484,4,0,NA,NA,NA,NA
219,0,0,NA,NA,NA,NA
232,1,0,NA,NA,NA,NA
252,0,0,NA,NA,NA,NA
29,0,0,4.86345291406167,11.5776326729293,27.3,0
2081,12,0,4.66894946636234,8.06253276240141,21.5,2.5
5229,44,1,4.6553023989496,10.527666770566,45.3,7.5
1337,10,2,NA,NA,NA,NA
3799,27,0,4.69133813866034,17.5167563080467,47.9,13
4417,29,0,4.33556451383878,14.5021080035771,44.5,7.7
928,1,0,NA,NA,NA,NA
5963,23,1,4.54639710484588,15.2905634920867,41,7.5
6254,60,0,4.80347937135802,9.76386255137237,54.4,15.1
41,0,0,5.05883681869975,8.79165134971423,39.6,9.3
181,2,0,NA,NA,NA,NA
3045,21,0,4.41109271589976,11.5055539188145,57.7,11.5
3153,25,1,4.2586908554159,13.2327598606853,53.4,5.7
582,5,0,NA,NA,NA,NA
1925,21,0,4.27741428298566,11.9568392124509,50.6,12.9
388,2,0,NA,NA,NA,NA
204,0,0,4.64659130310565,9.98680519914917,40.5,32.6
472,7,0,6.52411267287897,6.09427616415063,60.2,21
72,0,0,4.22767384100914,12.5670356826553,89,0
186,2,0,5.35281538980393,8.08985628059736,70.8,35.9
25,0,0,6.10468573950544,6.01517348419114,78.7,23.1
850,5,0,4.26282894618422,13.6949477639523,50.6,18.1
18,0,0,4.83495850135251,8.76816005306557,35,50
288,0,0,4.64323042820661,14.1517358865761,59.4,12
559,6,0,NA,NA,NA,NA
